作者,组别,赛段,上赛段推荐票,编辑推荐,在售作品
彭小鱻,女性,1,5,1,1
夏叁酌,女性,1,1,1,1
大姑娘浪,言情,2,7684,0,2
周板娘,言情,2,4538,0,1
坡西米,言情,2,4045,0,5
陆雾,言情,2,2097,0,5
吃书的狐狸,言情,2,1929,0,1
小格,言情,2,1869,0,8
我想喝奶茶,言情,2,1149,0,1
莘月夜,言情,2,988,0,3
林春令,言情,2,951,0,1
戒了五花肉,言情,2,928,0,8
藤桐七哀,言情,2,89,1,12
书一,言情,2,71,1,1
侑栗,言情,2,53,1,3
楚棠,言情,2,7,1,4
隔壁的大橘猫,言情,2,5,1,1
S飒,悬疑,2,1637,0,5
张半天,悬疑,2,1471,0,10
不明眼,悬疑,2,1436,0,7
徐暮明,悬疑,2,1198,0,2
陆春吾,悬疑,2,974,0,2
波兰黑加仑,悬疑,2,842,0,3
赛西娅,悬疑,2,780,0,3
易何,悬疑,2,694,0,1
角木蛟,悬疑,2,636,0,3
贝客邦,悬疑,2,624,0,7
苏昱,悬疑,2,224,1,1
恩佐斯焗饭,悬疑,2,196,1,1
小乙,悬疑,2,55,1,10
张以妮,悬疑,2,49,1,3
姜紫,悬疑,2,0,1,12
十三弦声,幻想,2,1090,0,2
天下第一郭,幻想,2,747,0,4
李冬,幻想,2,728,0,10
阿日希,幻想,2,639,0,1
回渊,幻想,2,550,0,6
张谨言,幻想,2,530,0,8
杜厚圻,幻想,2,506,0,5
寡人有猫,幻想,2,505,0,4
Lady Panda,幻想,2,503,0,5
鹿迢迢,幻想,2,419,0,8
非鱼,幻想,2,99,1,2
气泡橘,幻想,2,70,1,3
抒睿,幻想,2,6,1,5
船底星,幻想,2,6,1,2
白夜,幻想,2,0,1,2
兰思思,女性,2,5885,0,20
李尾,女性,2,3723,0,1
祖乐,女性,2,1958,0,6
爻一一,女性,2,1551,0,6
安迪,女性,2,1128,0,1
露西花,女性,2,1048,0,4
海上花开,女性,2,926,0,3
燕尾,女性,2,920,0,2
叶眉,女性,2,908,0,6
易难,女性,2,894,0,13
瞳暖,女性,2,444,1,3
飒然,女性,2,163,1,3
阿晏,女性,2,159,1,1
柴门公子,女性,2,88,1,1
柳沐颜,女性,2,10,1,1
大姑娘浪,言情,3,10912,0,2
周板娘,言情,3,5199,0,1
坡西米,言情,3,5139,0,5
陆雾,言情,3,2635,0,5
小格,言情,3,2480,0,8
吃书的狐狸,言情,3,2395,0,1
林春令,言情,3,1524,0,1
我想喝奶茶,言情,3,1353,0,1
莘月夜,言情,3,999,0,3
阮郎不归,言情,3,886,0,1
东北凯瑟琳,言情,3,299,1,4
语山堰,言情,3,52,1,8
谢又清,言情,3,39,1,4
林逸野,言情,3,31,1,8
vec,言情,3,8,1,2
张半天,悬疑,3,1918,0,10
S飒,悬疑,3,1655,0,5
不明眼,悬疑,3,1556,0,7
徐暮明,悬疑,3,1493,0,2
陆春吾,悬疑,3,1222,0,2
波兰黑加仑,悬疑,3,1054,0,3
赛西娅,悬疑,3,976,0,3
贝客邦,悬疑,3,699,0,7
吉良,悬疑,3,609,0,3
易何,悬疑,3,591,0,1
史迈,悬疑,3,121,1,1
燕玖,悬疑,3,83,1,7
河星,悬疑,3,56,1,1
大鲤五色,悬疑,3,18,1,2
祐树,悬疑,3,4,1,1
十三弦声,幻想,3,1778,0,2
回渊,幻想,3,995,0,6
天下第一郭,幻想,3,883,0,4
张谨言,幻想,3,760,0,8
李冬,幻想,3,754,0,10
杜厚圻,幻想,3,703,0,5
石径斜,幻想,3,569,0,3
阿日希,幻想,3,548,0,1
Lady Panda,幻想,3,497,0,5
鹿迢迢,幻想,3,494,0,8
非龍,幻想,3,128,1,1
苏辰,幻想,3,78,1,1
七桃白相,幻想,3,23,1,3
岑空,幻想,3,15,1,4
陈小朵,幻想,3,2,1,1
怪兽鱼,幻想,3,0,1,3
兰思思,女性,3,8562,0,20
李尾,女性,3,3711,0,1
祖乐,女性,3,2179,0,6
安迪,女性,3,2047,0,1
海上花开,女性,3,1626,0,3
爻一一,女性,3,1511,0,6
易难,女性,3,1484,0,13
叶眉,女性,3,1248,0,6
露西花,女性,3,1228,0,4
燕尾,女性,3,940,0,2
一见青山,女性,3,74,1,3
有点闲,女性,3,32,1,1
王富贵,女性,3,32,1,1
李牧羊,女性,3,8,1,1
墨池走大街,女性,3,2,1,9
大姑娘浪,言情,4,15327,0,2
坡西米,言情,4,5943,0,5
周板娘,言情,4,5623,0,1
小格,言情,4,2909,0,8
陆雾,言情,4,2763,0,5
吃书的狐狸,言情,4,2444,0,1
林春令,言情,4,2066,0,1
我想喝奶茶,言情,4,1262,0,1
阮郎不归,言情,4,1160,0,1
莘月夜,言情,4,972,0,3
墨染鱼摆摆,言情,4,153,1,3
小梅妮卡,言情,4,89,1,1
李青澜,言情,4,75,1,4
糖水芋头,言情,4,49,1,1
小熊壮汉,言情,4,49,1,1
张半天,悬疑,4,1697,0,10
徐暮明,悬疑,4,1643,0,2
不明眼,悬疑,4,1457,0,7
陆春吾,悬疑,4,1432,0,2
S飒,悬疑,4,1261,0,5
波兰黑加仑,悬疑,4,1068,0,3
吉良,悬疑,4,1044,0,3
赛西娅,悬疑,4,982,0,3
易何,悬疑,4,650,0,1
贝客邦,悬疑,4,583,0,7
乌鸦哥哥,悬疑,4,265,1,2
阙特勤,悬疑,4,69,1,4
木易桑,悬疑,4,65,1,5
踏夜白泽,悬疑,4,33,1,1
马鹿,悬疑,4,3,1,4
十三弦声,幻想,4,1872,0,2
回渊,幻想,4,1358,0,6
天下第一郭,幻想,4,949,0,4
鹿迢迢,幻想,4,928,0,8
李冬,幻想,4,767,0,10
杜厚圻,幻想,4,701,0,5
张谨言,幻想,4,693,0,8
石径斜,幻想,4,617,0,3
Lady Panda,幻想,4,580,0,5
六熏,幻想,4,575,0,1
阙凝,幻想,4,235,1,3
爱烤火的鱼,幻想,4,33,1,1
叶茶,幻想,4,3,1,1
端端,幻想,4,0,1,4
兰思思,女性,4,9743,0,20
李尾,女性,4,4351,0,1
安迪,女性,4,2419,0,1
祖乐,女性,4,2357,0,6
海上花开,女性,4,2217,0,3
爻一一,女性,4,1452,0,6
露西花,女性,4,1332,0,4
燕尾,女性,4,1135,0,2
叶眉,女性,4,1133,0,6
易难,女性,4,1094,0,13
慕容素衣,女性,4,141,1,1
王千斤,女性,4,12,1,2
王家小林,女性,4,6,1,1
苏羡眯,女性,4,6,1,5
二月风和,女性,4,4,1,4
